k,correlation
5,0.89100058682587
10,0.904987729749101
15,0.9074138514360357
20,0.9061605320557553
25,0.9029916157501071
30,0.8994565637664057
35,0.8958223704930843
40,0.8922596273048352
45,0.8889214446251475
50,0.8858973401070747
55,0.8831663275054938
60,0.8807198574541719
65,0.8785149443749406
70,0.8765608745309298
75,0.8748094201011162
80,0.8732813771517016
85,0.8719403272908349
90,0.8707525262390744
95,0.8697019508201567
100,0.8687725605344252
105,0.8679573909842732
110,0.8672321520278424
115,0.8665851404496322
120,0.866008367118761
125,0.8654896156403022
130,0.8650206885646918
135,0.8645988738719536
140,0.864218913029251
145,0.8638732870015534
150,0.8635614934226933
155,0.8632794851744195
